id size repository_url name owner
2 12674948 https://github.com/kitanda/dogen dogen kitanda
3 5348640 https://github.com/jcrigby/linaro-ci-kernels linaro-ci-kernels jcrigby
4 4013230 https://github.com/mapbox/tilemill tilemill mapbox
5 3651252 https://github.com/taocore/test2 test2 taocore
6 3473592 https://github.com/aestesis/elektronika elektronika aestesis
7 3135880 https://github.com/uniworlds/FH-Orth FH-Orth uniworlds
8 2965782 https://github.com/MLstate/opalang opalang MLstate
9 2931510 https://github.com/tpaviot/oce oce tpaviot
10 2866944 https://github.com/srvanderplas/Craigslist Craigslist srvanderplas
11 2638732 https://github.com/MSHA-Dev/MSHA-dev MSHA-dev MSHA-Dev
12 2259716 https://github.com/JetBrains/intellij-community intellij-community JetBrains
13 2084808 https://github.com/mveinot/minecraft minecraft mveinot
14 2059355 https://github.com/mininet/mininet mininet mininet
15 2057624 https://github.com/starprog/Nauticus Nauticus starprog
16 1966600 https://github.com/edse/cmais-frontend cmais-frontend edse
17 1768276 https://github.com/python-mirror/python python python-mirror
18 1718920 https://github.com/loadtest/bulletinboard bulletinboard loadtest
19 1710896 https://github.com/beefproject/beef beef beefproject
20 1703780 https://github.com/sightmachine/SimpleCV SimpleCV sightmachine
21 1682224 https://github.com/dtolabs/rundeck rundeck dtolabs
22 1647680 https://github.com/foresight/legacy legacy foresight
23 1482008 https://github.com/androidarmv6/android_kernel_lge_msm7x27-3.0.x android_kernel_lge_msm7x27-3.0.x androidarmv6
24 1471996 https://github.com/ComputerGame/GraphicsApplication GraphicsApplication ComputerGame
25 1459812 https://github.com/raikesd/adrcd adrcd raikesd
26 1459616 https://github.com/polyphonic13/game01 game01 polyphonic13
27 1432856 https://github.com/wbunle/PersonalShare PersonalShare wbunle
28 1423940 https://github.com/mantidproject/artifacts artifacts mantidproject
29 1404536 https://github.com/SleepyFloyd/Diss Diss SleepyFloyd
30 1374808 https://github.com/cphelps76/device_samsung_tuna device_samsung_tuna cphelps76
31 1362940 https://github.com/HeinzLaetsch/TVSeebach-Portal-extensions TVSeebach-Portal-extensions HeinzLaetsch
32 1336300 https://github.com/cchriste/visit visit cchriste
33 1319128 https://github.com/Pwnoz0r/DayZ-Private-Server DayZ-Private-Server Pwnoz0r
34 1308092 https://github.com/androidarmv6/android_frameworks_base android_frameworks_base androidarmv6
35 1278286 https://github.com/neo4j/neoclipse neoclipse neo4j
36 1267572 https://github.com/vathpela/grub2-fedora grub2-fedora vathpela
37 1253930 https://github.com/impetus-opensource/Kundera Kundera impetus-opensource
38 1248712 https://github.com/VanessaE/hdx-512 hdx-512 VanessaE
39 1247196 https://github.com/bhatti/plexlotto plexlotto bhatti
40 1232496 https://github.com/maddoggin/platform_frameworks_base platform_frameworks_base maddoggin
41 1232256 https://github.com/CPROD/cprod-baselines cprod-baselines CPROD
42 1228836 https://github.com/bsgelley/Wikipedia-deletion-data Wikipedia-deletion-data bsgelley
43 1200580 https://github.com/CyanogenMod/android_frameworks_base android_frameworks_base CyanogenMod
44 1182244 https://github.com/MikereDD/android_frameworks_base android_frameworks_base MikereDD
45 1174908 https://github.com/jimmyshen007/NeMo NeMo jimmyshen007
46 1125183 https://github.com/arduino/Arduino Arduino arduino
47 1123144 https://github.com/ThinkingBridge/platform_frameworks_base platform_frameworks_base ThinkingBridge
48 1117184 https://github.com/cphelps76/vendor_DEMENTED vendor_DEMENTED cphelps76
49 1114360 https://github.com/TeamHellfire/android_frameworks_base android_frameworks_base TeamHellfire
50 1103700 https://github.com/wesesque/gwr gwr wesesque
51 1086112 https://github.com/BlackToppStudios/Mezzanine Mezzanine BlackToppStudios
52 1079328 https://github.com/zhdk/madek madek zhdk
53 1078448 https://github.com/greg17477/frameworks_base frameworks_base greg17477
54 1029212 https://github.com/Chaste/Chaste Chaste Chaste
55 1028172 https://github.com/icepeda/omap omap icepeda
56 1026316 https://github.com/nemomobile-packages/mozilla-central mozilla-central nemomobile-packages
57 989548 https://github.com/torvalds/linux linux torvalds
58 949128 https://github.com/Christopher83/toolchains toolchains Christopher83
59 937909 https://github.com/quantcast/qfs qfs quantcast
60 937885 https://github.com/sriramsrao/qfs qfs sriramsrao
61 936976 https://github.com/boostorg/boost boost boostorg
62 917460 https://github.com/IVPR/Weave-Binaries Weave-Binaries IVPR
63 905136 https://github.com/carmencampos/WMTS WMTS carmencampos
64 904272 https://github.com/call/linux linux call
65 884180 https://github.com/entoo/portage portage entoo
66 880428 https://github.com/matplotlib/matplotlib matplotlib matplotlib
67 878792 https://github.com/svn2github/SpagoBI-V4x SpagoBI-V4x svn2github
68 857384 https://github.com/mdlawrenceusa/ETPresentation ETPresentation mdlawrenceusa
69 856592 https://github.com/niallleonard/lx-overlay lx-overlay niallleonard
70 855372 https://github.com/jreeder/JRNN JRNN jreeder
71 842880 https://github.com/omerta/documentos documentos omerta
72 839722 https://github.com/TideSDK/TideSDK TideSDK TideSDK
73 839617 https://github.com/jemofthewest/DOECPF DOECPF jemofthewest
74 809096 https://github.com/broadcom/bcm11351 bcm11351 broadcom
75 800064 https://github.com/NCIP/camod camod NCIP
76 795896 https://github.com/qtproject/qt qt qtproject
77 769293 https://github.com/BroadleafCommerce/DemoSite DemoSite BroadleafCommerce
78 767257 https://github.com/OpenClovis/SAFplus-Availability-Scalability-Platform SAFplus-Availability-Scalability-Platform OpenClovis
79 766648 https://github.com/PKRoma/linux linux PKRoma
80 755200 https://github.com/Starlink/starjava starjava Starlink
81 750668 https://github.com/php/php-src php-src php
82 748684 https://github.com/twitter/mysql mysql twitter
83 747384 https://github.com/philip-tbits/dcciinfo dcciinfo philip-tbits
84 745760 https://github.com/catrushmore/chemicals chemicals catrushmore
85 744888 https://github.com/ArchimedesPi/SageMathematics-raspi SageMathematics-raspi ArchimedesPi
86 743220 https://github.com/Subsentient/wz2100legacy wz2100legacy Subsentient
87 736549 https://github.com/NServiceBus/NServiceBus NServiceBus NServiceBus
88 734958 https://github.com/kennethreitz/osx-gcc-installer osx-gcc-installer kennethreitz
